userid,group,retention_1
116,A,False
337,A,True
377,B,True
483,B,False
488,B,True
540,B,True
1066,A,False
1444,B,False
1574,B,True
1587,B,True
1842,B,False
2101,A,False
2132,B,True
2179,A,True
2218,A,True
2382,A,True
2392,A,True
2451,A,True
2482,A,True
2502,B,False
2530,B,True
2534,A,True
2695,B,True
2729,A,False
2829,A,False
2963,A,False
3095,A,False
3132,B,True
3186,B,False
3199,A,False
3204,B,True
3413,A,True
3690,A,True
3696,A,False
3993,B,True
4076,B,False
4162,A,False
4176,A,False
4283,A,False
4594,A,False
4653,B,False
4881,A,False
4902,B,False
4916,B,True
4918,A,False
4929,A,True
4945,B,True
5066,A,False
5215,A,True
5286,A,True
5345,B,False
5479,A,True
5550,A,True
5661,A,True
5712,A,True
5920,B,True
5943,B,False
6099,B,False
6123,A,False
6151,A,True
6156,B,False
6492,A,False
6664,B,True
6695,B,True
6833,B,False
6842,B,False
6924,A,False
6930,B,True
7124,B,True
7253,A,True
7321,B,False
7509,B,False
7527,A,False
7564,A,False
7582,B,False
7767,A,True
7866,A,False
8063,A,True
8254,B,False
8256,B,False
8288,A,False
8317,B,False
8379,A,False
8464,A,False
8465,B,False
8494,A,True
8644,A,False
8679,A,False
8692,A,True
8753,B,True
8788,A,False
8801,B,False
8885,B,False
9001,B,True
9308,B,True
9443,B,False
9589,A,False
9699,B,False
9828,B,False
9831,B,False
9849,B,False
10112,A,False
10200,B,False
10218,A,True
10276,B,False
10336,A,False
10476,B,False
10533,B,False
10598,B,False
10636,A,True
10637,B,False
10676,B,False
10756,A,False
10884,B,True
11093,B,True
11127,A,True
11297,A,False
11411,A,True
11420,A,True
11599,A,False
11675,B,False
11747,A,True
11840,A,False
11886,A,False
12053,A,True
12067,B,False
12163,A,True
12393,B,False
12461,B,False
12523,A,True
12558,A,False
12574,A,True
12749,A,True
12905,B,False
12951,B,False
12967,A,True
12979,A,False
13133,B,False
13216,A,True
13228,B,False
13320,B,False
13321,B,False
13376,B,True
13429,A,False
13494,B,True
13633,A,False
13664,A,True
13721,B,True
13758,A,False
13806,A,False
13856,A,False
13872,A,False
13893,B,False
13969,B,False
14143,A,False
14218,A,False
14290,B,True
14296,A,False
14381,B,False
14592,A,False
14644,B,False
14834,A,False
15157,B,False
15173,A,False
15294,A,True
15489,A,False
15597,B,False
15962,A,False
15970,B,True
16096,B,False
16145,B,False
16180,A,False
16224,B,False
16454,B,False
16504,B,False
16506,A,True
16638,B,True
16696,B,False
17085,B,False
17167,A,False
17270,A,True
17422,B,False
17461,A,False
17477,A,True
17506,B,True
17554,A,False
17814,A,False
17903,B,False
17947,A,True
17995,A,False
18013,B,True
18213,B,True
18235,A,False
18374,B,True
18731,A,False
18756,A,True
18778,A,False
18827,A,True
18849,B,True
18993,B,True
19077,A,False
19091,B,False
19474,B,False
19490,A,True
19529,B,False
19537,B,False
19593,B,False
19673,B,False
19721,B,False
19728,B,True
19746,A,False
19896,B,True
19993,A,True
20005,A,False
20052,A,False
20136,A,False
20358,B,False
20365,B,False
20465,A,True
20489,B,False
20587,B,False
20591,B,True
20721,B,False
20763,A,False
20790,B,True
20832,A,True
20940,B,False
21072,B,False
21130,B,False
21137,B,True
21228,B,True
21408,A,True
21442,B,True
21755,B,False
22069,B,False
22082,B,False
22167,B,True
22299,B,True
22398,A,False
22486,B,False
22676,B,False
22919,B,False
22935,A,True
22972,A,False
23023,B,False
23026,B,False
23084,B,True
23094,B,False
23126,B,False
23270,A,False
23333,A,False
23374,A,True
23525,B,True
23702,B,True
23748,B,True
24036,B,False
24222,A,True
24302,B,True
24328,A,False
24382,A,True
24397,A,False
24981,B,False
25047,A,False
25281,A,False
25293,B,False
25332,A,True
25466,B,False
25903,A,True
25941,B,True
25958,A,False
26083,A,True
26243,B,True
26253,A,False
26466,B,True
26502,A,True
26586,A,True
27135,A,False
27163,B,False
27605,A,True
27693,A,False
27754,A,False
27759,A,True
27849,B,True
27851,B,True
27979,A,False
28025,A,True
28091,A,True
28123,A,False
28332,A,False
28405,A,False
28433,A,False
28497,B,True
29185,B,False
29311,B,False
29317,B,False
29455,A,True
29522,B,False
29658,A,False
29677,B,False
29753,B,True
29861,B,False
29999,A,True
30039,B,False
30059,A,False
30274,A,True
30277,A,False
30343,A,True
30348,A,True
30594,B,True
30631,A,False
30868,A,False
30928,A,True
31073,A,True
31151,A,False
31200,A,True
31214,A,False
31222,B,False
31638,B,False
31691,A,False
31812,A,True
31903,A,True
32292,B,False
32403,B,True
32569,B,False
32595,B,True
32642,A,False
32730,A,False
32942,B,True
33097,A,False
33126,A,False
33189,B,True
33274,B,False
33316,B,True
33445,A,False
33489,A,False
33639,B,True
33703,B,True
33794,A,False
33954,B,True
33967,A,True
34016,B,True
34022,B,False
34027,B,False
34076,B,False
34447,B,True
34469,A,True
34597,B,True
34647,B,False
34706,A,True
34842,B,True
34859,A,False
34906,A,True
34942,B,False
35027,B,True
35056,A,True
35156,A,False
35458,B,False
35460,A,True
35730,A,True
35837,A,True
35886,A,False
35922,A,True
36003,A,True
36047,B,True
36077,A,True
36279,A,True
36280,A,False
36298,B,False
36356,A,True
36513,B,True
36560,B,True
36622,A,True
36664,B,False
36673,A,False
36761,B,True
36887,B,True
36921,A,False
36997,B,True
37155,B,False
37303,A,True
37366,B,True
37461,B,False
37740,A,True
37823,A,True
37872,A,True
37994,B,False
38151,A,True
38232,A,True
38249,B,True
38292,A,False
39069,A,False
39382,A,False
39494,A,True
39531,A,True
39774,B,True
39902,B,True
39932,A,True
39993,B,False
40233,B,True
40292,A,False
40359,A,False
40378,A,True
40427,A,True
40566,A,False
40593,A,True
40630,B,True
40653,A,True
40687,A,False
40749,B,False
40812,B,False
41112,A,False
41192,A,False
41378,B,False
41795,A,True
41842,B,False
41934,B,False
41988,B,False
42077,A,True
42316,A,False
42407,A,False
42457,A,False
42688,B,False
42703,A,True
42758,B,True
42994,B,True
43091,A,True
43368,B,False
43644,A,True
43744,A,True
43757,A,False
44400,B,True
44493,B,True
44498,A,True
44591,A,False
44670,A,False
44751,A,False
44780,A,False
44910,B,False
45066,A,True
45083,B,False
45167,A,False
45694,B,True
45698,A,True
45753,A,True
45813,B,True
45895,B,True
45896,B,True
45952,B,False
46007,A,False
46022,B,False
46347,A,False
46472,B,False
46576,A,False
46624,B,True
46629,B,True
46746,B,True
46806,A,True
46919,B,True
46938,A,False
47377,B,False
47816,A,True
47822,B,True
47990,B,True
48016,A,False
48116,A,False
48130,A,False
48201,B,True
48631,B,False
48658,A,True
48677,B,True
48942,A,True
48990,B,False
49147,B,True
49311,B,False
49330,A,False
49373,A,False
49600,A,False
49811,B,True
49995,B,True
50011,B,False
50158,B,True
50237,B,True
50339,B,False
50386,B,False
50547,A,False
50665,A,True
50686,B,False
50688,A,False
50794,B,False
50811,A,False
50850,A,True
51155,A,False
51267,A,False
51295,A,True
51310,A,False
51430,A,True
51636,B,False
51641,B,True
51823,B,True
51894,A,False
51970,B,False
52100,B,True
52177,B,False
52271,B,False
52357,A,True
52420,A,True
52636,B,False
53149,B,False
53373,B,True
53393,A,True
53450,B,False
53464,B,False
53470,B,False
53597,B,False
53638,A,False
53763,A,True
53935,B,False
53996,B,True
54069,A,True
54162,A,True
54178,A,False
54244,B,False
54256,B,False
54403,A,False
54580,A,False
54617,B,False
54680,B,False
54681,B,False
54754,A,True
54776,A,False
54975,A,False
55139,A,False
55213,B,True
55250,B,True
55480,A,False
55621,A,False
56116,B,False
56237,B,False
56269,A,False
56294,B,True
56446,A,False
56496,B,True
56522,A,False
56587,B,True
56815,A,True
56895,B,False
56997,B,False
57149,A,False
57321,A,False
57334,B,True
57339,B,True
57369,B,True
57401,A,True
57429,B,True
57516,A,True
57833,B,False
58180,B,True
58189,A,False
58289,A,True
58394,B,True
58592,B,True
58700,A,False
58768,A,False
58813,B,False
59164,A,True
59395,A,True
59531,A,False
60035,B,False
60103,B,False
60160,B,True
60410,B,True
60424,A,False
60619,B,True
60929,B,True
60956,B,False
60984,A,False
61104,A,False
61245,A,True
61462,A,False
61563,A,False
61595,B,False
61609,A,False
61651,A,False
61952,A,False
61979,A,False
62084,A,False
62145,B,False
62206,A,False
62434,A,False
62437,B,False
62566,B,True
62700,B,True
62704,B,False
62879,A,False
63001,B,True
63335,A,True
63370,A,True
63473,A,False
63478,A,True
63480,A,True
63555,B,False
63617,A,True
63766,A,False
63786,B,False
63832,A,False
63889,A,True
63962,A,True
64052,A,False
64224,B,False
64235,A,False
64309,B,True
64643,B,False
64646,B,False
64792,A,True
64849,B,True
64930,A,True
64944,B,False
65032,B,False
65452,A,False
65482,B,False
65511,A,False
66120,B,False
66509,A,True
66677,B,False
66713,B,False
66947,B,True
67078,A,False
67122,A,False
67190,B,False
67193,B,False
67234,A,False
67387,A,False
67654,B,False
67829,B,False
67910,B,True
67950,A,False
68020,B,False
68112,A,False
68151,B,True
68386,A,False
68394,B,True
68406,B,False
68485,A,True
68698,B,True
68856,A,False
68887,B,False
68915,B,False
68965,B,True
69027,B,False
69050,A,True
69392,A,False
69488,A,False
69649,B,True
69870,B,True
69917,B,True
69927,A,True
69998,A,False
70074,A,False
70127,A,False
70175,B,True
70294,B,True
70522,B,False
70570,A,False
70899,B,False
71062,A,True
71119,A,True
71161,B,True
71165,B,True
71205,A,False
71235,A,True
71326,B,False
71489,A,False
71635,A,False
71698,A,False
71777,B,False
72085,B,True
72164,A,True
72353,B,False
72419,B,True
